[rosmaster.master][INFO] 2012-12-31 16:00:16,525: +PUB [/autopilot/payload_rate] /safety http://copter131:52233/
[rosmaster.master][INFO] 2012-12-31 16:00:16,546: +SERVICE [/network/get_loggers] /network http://copter131:48892/
[rosmaster.master][INFO] 2012-12-31 16:00:16,576: +PUB [/autopilot/payload_attitude] /safety http://copter131:52233/
[rosmaster.master][INFO] 2012-12-31 16:00:16,581: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,591: +SERVICE [/network/set_logger_level] /network http://copter131:48892/
[rosmaster.master][INFO] 2012-12-31 16:00:16,610: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:52123/
[rosmaster.master][INFO] 2012-12-31 16:00:16,665: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:52123/
[rosmaster.master][INFO] 2012-12-31 16:00:16,710: +PUB [/rosout] /recv_pose_rate http://copter131:43983/
[rosmaster.master][INFO] 2012-12-31 16:00:16,746: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:52123/
[rosmaster.master][INFO] 2012-12-31 16:00:16,783: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,801: +PUB [/rosout] /autopilot http://copter131:59043/
[rosmaster.master][INFO] 2012-12-31 16:00:16,825: +PUB [/rosout] /radiation_sensor http://copter131:41998/
[rosmaster.master][INFO] 2012-12-31 16:00:16,884: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,889: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:16,905: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:43983/
[rosmaster.master][INFO] 2012-12-31 16:00:16,948: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:43983/
[rosmaster.master][INFO] 2012-12-31 16:00:16,975: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:52233/
[rosmaster.master][INFO] 2012-12-31 16:00:16,996: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:41998/
[rosmaster.master][INFO] 2012-12-31 16:00:17,061: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:41998/
[rosmaster.master][INFO] 2012-12-31 16:00:17,097: +PUB [/rosout] /task_runner http://copter131:58767/
[rosmaster.master][INFO] 2012-12-31 16:00:17,100: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:41998/
[rosmaster.master][INFO] 2012-12-31 16:00:17,102: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:59043/
[rosmaster.master][INFO] 2012-12-31 16:00:17,105: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,162: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:52123/
[rosmaster.master][INFO] 2012-12-31 16:00:17,187: publisherUpdate[/rosout] -> http://copter131:33448/
[rosmaster.master][INFO] 2012-12-31 16:00:17,207: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:59043/
