0.40,121,1,33.2754531,-81.5771945,51.75166274,-32768,50,5.53733E+11,0
0.61,121,1,33.2754524,-81.5771977,51.49765435,-32768,50,5.53724E+11,0
0.90,121,1,33.2754508,-81.5772032,51.49765435,-32768,48,5.12708E+11,0
1.22,121,1,33.275449,-81.5772084,51.49765435,-32768,48,5.12708E+11,0
1.52,121,1,33.2754473,-81.5772124,51.49765435,-32768,48,5.12708E+11,0
1.80,121,1,33.2754454,-81.5772163,51.49765435,-32768,47,4.92199E+11,0
3.10,121,1,33.2754432,-81.5772195,51.49765435,-32768,47,4.92199E+11,0
3.13,121,1,33.2754344,-81.5772268,50.16,-32768,47,4.92159E+11,0
3.21,121,1,33.2754335,-81.5772271,50.45,-32768,47,4.92168E+11,0
3.41,121,1,33.2754326,-81.5772276,49.89664282,-32768,47,4.92151E+11,0
3.61,121,1,33.2754315,-81.5772282,50.30954089,-32768,47,4.92164E+11,0
3.86,121,1,33.2754309,-81.5772287,49.46567426,-32768,48,5.12644E+11,0
4.01,121,1,33.275431,-81.577229,49.2097374,-32768,48,5.12636E+11,0
4.23,121,1,33.2754315,-81.5772291,49.67086942,-32768,48,5.12651E+11,0
5.48,121,1,33.275432,-81.5772292,49.67623604,-32768,50,5.53663E+11,0
5.50,121,1,33.2754372,-81.5772325,49.67623604,-32768,50,5.53663E+11,0
5.54,121,1,33.2754382,-81.5772332,49.65633574,-32768,50,5.53662E+11,0
5.74,121,1,33.2754402,-81.5772346,50.07504438,-32768,50,5.53676E+11,0
6.03,121,1,33.2754413,-81.5772355,50.08594238,-32768,50,5.53677E+11,0
6.90,121,1,33.275443,-81.5772368,49.79229091,-32768,50,5.53667E+11,0
7.01,121,1,33.2754508,-81.5772466,50.03817692,-32768,50,5.53675E+11,0
7.04,121,1,33.2754521,-81.5772487,49.64610502,-32768,50,5.53662E+11,0
7.30,121,1,33.2754531,-81.5772503,49.84886641,-32768,50,5.53669E+11,0
7.40,121,1,33.2754559,-81.5772547,49.54699988,-32768,50,5.53658E+11,0
7.58,121,1,33.2754584,-81.5772586,49.27486982,-32768,50,5.53649E+11,0
7.78,121,1,33.2754614,-81.5772631,49.68265779,-32768,51,5.74169E+11,0
7.98,121,1,33.2754644,-81.5772679,49.81152258,-32768,51,5.74174E+11,0
8.18,121,1,33.2754672,-81.5772726,50.0169547,-32768,51,5.74181E+11,0
9.41,121,1,33.2754699,-81.5772775,49.26628924,-32768,51,5.74154E+11,0
9.45,121,1,33.2754827,-81.57731,49.26628924,-32768,51,5.74154E+11,0
9.57,121,1,33.2754841,-81.5773138,49.12449002,-32768,51,5.7415E+11,0
9.75,121,1,33.2754869,-81.5773216,49.06457502,-32768,52,5.94653E+11,0
9.90,121,1,33.2754896,-81.5773291,48.71498893,-32768,52,5.9464E+11,0
10.08,121,1,33.275493,-81.5773386,48.63292701,-32768,52,5.94637E+11,0
10.30,121,1,33.2754944,-81.5773425,48.0741669,-32768,52,5.94617E+11,0
10.53,121,1,33.2754973,-81.5773507,48.183092,-32768,52,5.94621E+11,0
11.68,121,1,33.2755005,-81.5773601,46.86897073,-32768,52,5.94573E+11,0
11.79,121,1,33.2755129,-81.5773968,46.86897073,-32768,52,5.94573E+11,0
13.47,121,1,33.275514,-81.5774,46.79273098,-32768,52,5.9457E+11,0
13.63,121,1,33.275517,-81.5774083,46.1251449,-32768,52,5.94546E+11,0
13.74,121,1,33.2755197,-81.5774155,46.21197686,-32768,52,5.94549E+11,0
13.89,121,1,33.2755229,-81.577424,46.40229851,-32768,52,5.94556E+11,0
14.00,121,1,33.2755266,-81.5774341,46.41899381,-32768,52,5.94557E+11,0
14.14,121,1,33.2755279,-81.5774378,46.30828569,-32768,50,5.53549E+11,0
15.99,121,1,33.275532,-81.577449,45.78885468,-32768,46,4.71527E+11,0
16.05,121,1,33.2756005,-81.5776069,45.62393719,-32768,46,4.71522E+11,0
16.22,121,1,33.2756034,-81.5776127,45.77505341,-32768,46,4.71527E+11,0
16.44,121,1,33.2756091,-81.5776243,45.94329274,-32768,46,4.71531E+11,0
16.56,121,1,33.2756148,-81.5776359,46.01898501,-32768,46,4.71534E+11,0
16.72,121,1,33.2756203,-81.5776478,46.08717973,-32768,44,4.30532E+11,0
