[rosmaster.master][INFO] 2012-12-31 16:00:20,928: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,000: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:34594/
[rosmaster.master][INFO] 2012-12-31 16:00:21,009: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:45940/
[rosmaster.master][INFO] 2012-12-31 16:00:21,108: +PUB [/rosout] /radiation_sensor http://copter131:41623/
[rosmaster.master][INFO] 2012-12-31 16:00:21,121: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:34594/
[rosmaster.master][INFO] 2012-12-31 16:00:21,126: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:45940/
[rosmaster.master][INFO] 2012-12-31 16:00:21,131: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,141: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:21,205: +PUB [/rosout] /task_runner http://copter131:41874/
[rosmaster.master][INFO] 2012-12-31 16:00:21,212: +PUB [/rosout] /red_tracker http://copter131:46091/
[rosmaster.master][INFO] 2012-12-31 16:00:21,232: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,237: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,242: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:45940/
[rosmaster.master][INFO] 2012-12-31 16:00:21,269: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:21,305: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:41623/
[rosmaster.master][INFO] 2012-12-31 16:00:21,340: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:41874/
[rosmaster.master][INFO] 2012-12-31 16:00:21,366: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:41623/
[rosmaster.master][INFO] 2012-12-31 16:00:21,395: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:46091/
[rosmaster.master][INFO] 2012-12-31 16:00:21,406: +PUB [/rosout] /recv_pose_rate http://copter131:43113/
[rosmaster.master][INFO] 2012-12-31 16:00:21,434: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,471: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:41874/
[rosmaster.master][INFO] 2012-12-31 16:00:21,516: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:41623/
[rosmaster.master][INFO] 2012-12-31 16:00:21,542: +PUB [/rosout] /swarm_tracker http://copter131:54884/
[rosmaster.master][INFO] 2012-12-31 16:00:21,544: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,563: +SUB [/swarm_control/subswarm_id] /network http://copter131:39413/
[rosmaster.master][INFO] 2012-12-31 16:00:21,612: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:41623/
[rosmaster.master][INFO] 2012-12-31 16:00:21,613: -PUB [/rosout] /radiation_sensor http://copter131:41623/
[rosmaster.master][INFO] 2012-12-31 16:00:21,625: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:37647
[rosmaster.master][INFO] 2012-12-31 16:00:21,625: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:37647
[rosmaster.master][INFO] 2012-12-31 16:00:21,638: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:21,651: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:43113/
[rosmaster.master][INFO] 2012-12-31 16:00:21,731: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:46091/
[rosmaster.master][INFO] 2012-12-31 16:00:21,756: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:43113/
[rosmaster.master][INFO] 2012-12-31 16:00:21,761: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:54884/
[rosmaster.master][INFO] 2012-12-31 16:00:21,859: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:54884/
[rosmaster.master][INFO] 2012-12-31 16:00:21,891: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:45940/
[rosmaster.master][INFO] 2012-12-31 16:00:21,926: +SUB [/autopilot/acs_pose] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:22,114: +SUB [/autopilot/status] /task_runner http://copter131:41874/
[rosmaster.master][INFO] 2012-12-31 16:00:22,173: +SUB [/swarm_control/swarm_behavior] /network http://copter131:39413/
[rosmaster.master][INFO] 2012-12-31 16:00:22,325: +PUB [/rosout] /independent_transit http://copter131:34754/
[rosmaster.master][INFO] 2012-12-31 16:00:22,341: +SUB [/autopilot/acs_pose] /red_tracker http://copter131:46091/
[rosmaster.master][INFO] 2012-12-31 16:00:22,342: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:22,360: +SUB [/network/recv_pose] /recv_pose_rate http://copter131:43113/
