[rosmaster.master][INFO] 2012-12-31 16:00:16,565: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:56750/
[rosmaster.master][INFO] 2012-12-31 16:00:16,585: +SERVICE [/network/set_logger_level] /network http://copter131:53711/
[rosmaster.master][INFO] 2012-12-31 16:00:16,611: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:56750/
[rosmaster.master][INFO] 2012-12-31 16:00:16,650: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:40064/
[rosmaster.master][INFO] 2012-12-31 16:00:16,655: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:56750/
[rosmaster.master][INFO] 2012-12-31 16:00:16,705: +PUB [/safety/healthy] /safety http://copter131:40064/
[rosmaster.master][INFO] 2012-12-31 16:00:16,755: +PUB [/autopilot/payload_waypoint] /safety http://copter131:40064/
[rosmaster.master][INFO] 2012-12-31 16:00:16,794: +PUB [/autopilot/payload_rate] /safety http://copter131:40064/
[rosmaster.master][INFO] 2012-12-31 16:00:16,869: +PUB [/autopilot/payload_attitude] /safety http://copter131:40064/
[rosmaster.master][INFO] 2012-12-31 16:00:16,875: +PUB [/rosout] /autopilot http://copter131:41662/
[rosmaster.master][INFO] 2012-12-31 16:00:16,910: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:16,960: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:56750/
[rosmaster.master][INFO] 2012-12-31 16:00:16,975: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:41662/
[rosmaster.master][INFO] 2012-12-31 16:00:17,021: +PUB [/rosout] /recv_pose_rate http://copter131:36723/
[rosmaster.master][INFO] 2012-12-31 16:00:17,031: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:41662/
[rosmaster.master][INFO] 2012-12-31 16:00:17,055: +PUB [/rosout] /task_runner http://copter131:59281/
[rosmaster.master][INFO] 2012-12-31 16:00:17,058: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:17,062: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:17,174: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:40064/
[rosmaster.master][INFO] 2012-12-31 16:00:17,195: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:36723/
[rosmaster.master][INFO] 2012-12-31 16:00:17,220: +PUB [/rosout] /red_tracker http://copter131:49259/
[rosmaster.master][INFO] 2012-12-31 16:00:17,260: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:59281/
[rosmaster.master][INFO] 2012-12-31 16:00:17,270: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:17,348: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:00:17,353: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:59281/
[rosmaster.master][INFO] 2012-12-31 16:00:17,395: +SUB [/network/net_reset] /hit_tracker http://copter131:56750/
[rosmaster.master][INFO] 2012-12-31 16:00:17,430: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:49259/
[rosmaster.master][INFO] 2012-12-31 16:00:17,485: +PUB [/hit_tracker/hit_uavs] /hit_tracker http://copter131:56750/
[rosmaster.master][INFO] 2012-12-31 16:00:17,511: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:36723/
[rosmaster.master][INFO] 2012-12-31 16:00:17,521: +SUB [/swarm_control/subswarm_id] /network http://copter131:53711/
[rosmaster.master][INFO] 2012-12-31 16:00:17,545: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:49259/
[rosmaster.master][INFO] 2012-12-31 16:00:17,565: +PUB [/rosout] /radiation_sensor http://copter131:44902/
[rosmaster.master][INFO] 2012-12-31 16:00:17,581: publisherUpdate[/rosout] -> http://copter131:58302/
[rosmaster.master][INFO] 2012-12-31 16:00:17,671: +PUB [/rosout] /independent_transit http://copter131:57650/
